Region,WBCountry,Economic cost in millions of 2017 INT$,Percentage of total GDP in 2020-2050,Per capita loss in 2017 INT $
Europe & Central Asia,Hungary,"19,290(17,778-22,393)",0.17%(0.15%-0.19%),"2,118(1,952-2,459)"
Europe & Central Asia,Iceland,"1,007(987-1,050)",0.14%(0.14%-0.15%),"2,768(2,713-2,886)"
Europe & Central Asia,Ireland,"170,560(168,974-173,680)",0.44%(0.44%-0.45%),"31,854(31,558-32,437)"
Europe & Central Asia,Italy,"131,372(128,462-135,915)",0.22%(0.21%-0.23%),"2,268(2,218-2,346)"
Europe & Central Asia,Kazakhstan,"22,071(20,550-25,517)",0.13%(0.12%-0.15%),"1,027(956-1,187)"
Europe & Central Asia,Kyrgyz Republic,"898(763-1,256)",0.08%(0.07%-0.11%),114(97-160)
Europe & Central Asia,Latvia,"1,671(1,493-2,059)",0.09%(0.08%-0.10%),"1,007(899-1,240)"
Europe & Central Asia,Lithuania,"3,574(3,292-4,085)",0.10%(0.09%-0.11%),"1,493(1,375-1,707)"
Europe & Central Asia,Luxembourg,"4,929(4,814-5,142)",0.21%(0.20%-0.22%),"6,893(6,731-7,190)"
Europe & Central Asia,Moldova,"1,471(1,374-1,694)",0.12%(0.11%-0.14%),393(367-452)
Europe & Central Asia,Netherlands,"72,639(71,334-74,752)",0.25%(0.25%-0.26%),"4,182(4,107-4,304)"
Europe & Central Asia,North Macedonia,"1,916(1,676-2,391)",0.17%(0.15%-0.22%),"959(839-1,197)"
Europe & Central Asia,Norway,"57,533(56,973-58,742)",0.57%(0.56%-0.58%),"9,501(9,409-9,701)"
Europe & Central Asia,Poland,"69,819(64,469-79,699)",0.14%(0.13%-0.16%),"1,941(1,793-2,216)"
Europe & Central Asia,Portugal,"17,235(16,702-18,273)",0.17%(0.17%-0.18%),"1,775(1,720-1,882)"
Europe & Central Asia,Russian Federation,"67,688(60,706-80,207)",0.07%(0.07%-0.09%),480(430-568)
Europe & Central Asia,Serbia,"15,105(14,319-16,707)",0.31%(0.30%-0.35%),"1,900(1,801-2,101)"
Europe & Central Asia,Slovak Republic,"9,598(8,924-11,110)",0.17%(0.15%-0.19%),"1,816(1,688-2,102)"
Europe & Central Asia,Slovenia,"4,020(3,859-4,321)",0.14%(0.13%-0.15%),"1,985(1,905-2,134)"
Europe & Central Asia,Spain,"138,722(135,856-143,857)",0.26%(0.26%-0.27%),"3,043(2,980-3,155)"
Europe & Central Asia,Sweden,"67,601(66,966-68,705)",0.40%(0.39%-0.40%),"6,260(6,202-6,363)"
Europe & Central Asia,Switzerland,"66,649(65,735-68,266)",0.38%(0.38%-0.39%),"7,143(7,045-7,316)"
Europe & Central Asia,Turkey,"102,600(97,711-112,552)",0.10%(0.10%-0.11%),"1,122(1,069-1,231)"
Europe & Central Asia,Ukraine,"589(264-1,121)",0.02%(0.01%-0.04%),15(7-28)
Europe & Central Asia,United Kingdom,"326,180(319,892-337,024)",0.39%(0.38%-0.40%),"4,571(4,483-4,723)"
Europe & Central Asia,Uzbekistan,"8,028(5,838-12,038)",0.06%(0.04%-0.09%),207(150-310)
Latin America & Caribbean,Argentina,"41,063(39,352-44,221)",0.18%(0.17%-0.19%),813(779-876)
Latin America & Caribbean,"Bahamas, The",676(599-919),0.21%(0.18%-0.28%),"1,552(1,374-2,108)"
Latin America & Caribbean,Barbados,71(47-123),0.07%(0.05%-0.13%),247(164-428)
Latin America & Caribbean,Belize,133(112-189),0.20%(0.16%-0.28%),269(226-382)
Latin America & Caribbean,Bolivia,"6,325(5,711-7,823)",0.19%(0.17%-0.23%),455(411-563)
Latin America & Caribbean,Brazil,"187,951(183,348-194,835)",0.26%(0.25%-0.27%),836(815-866)
Latin America & Caribbean,Chile,"33,091(32,410-34,285)",0.24%(0.24%-0.25%),"1,671(1,637-1,732)"
Latin America & Caribbean,Colombia,"83,187(81,192-87,025)",0.35%(0.34%-0.37%),"1,538(1,501-1,609)"
Latin America & Caribbean,Costa Rica,"15,093(14,646-16,009)",0.41%(0.40%-0.43%),"2,724(2,644-2,890)"
Latin America & Caribbean,Dominican Republic,"15,625(14,175-19,311)",0.16%(0.15%-0.20%),"1,300(1,179-1,607)"
Latin America & Caribbean,Ecuador,"23,790(23,195-25,164)",0.49%(0.48%-0.52%),"1,149(1,120-1,215)"
Latin America & Caribbean,El Salvador,"3,079(2,833-3,540)",0.19%(0.17%-0.22%),452(416-520)
Latin America & Caribbean,Guatemala,"17,646(16,756-19,388)",0.33%(0.31%-0.36%),779(740-856)
Latin America & Caribbean,Honduras,"5,708(5,430-6,431)",0.29%(0.28%-0.33%),474(451-534)
Latin America & Caribbean,Jamaica,"1,536(1,376-1,925)",0.22%(0.20%-0.28%),508(455-637)
Latin America & Caribbean,Mexico,"252,239(242,179-267,789)",0.38%(0.37%-0.41%),"1,747(1,677-1,854)"
Latin America & Caribbean,Panama,"15,415(14,926-16,392)",0.34%(0.33%-0.36%),"2,989(2,894-3,178)"
Latin America & Caribbean,Paraguay,"7,096(6,685-8,004)",0.23%(0.22%-0.26%),862(812-972)
Latin America & Caribbean,Peru,"37,932(37,115-39,724)",0.30%(0.29%-0.31%),"1,022(1,000-1,070)"
Latin America & Caribbean,Suriname,472(430-568),0.24%(0.22%-0.29%),733(668-881)
Latin America & Caribbean,Uruguay,"2,578(2,503-2,734)",0.12%(0.12%-0.13%),719(698-762)
Middle East & North Africa,Bahrain,"7,665(7,470-8,041)",0.33%(0.32%-0.35%),"3,687(3,593-3,868)"
Middle East & North Africa,Djibouti,168(127-303),0.05%(0.04%-0.10%),145(109-261)
Middle East & North Africa,Iraq,"85,339(83,787-88,958)",0.61%(0.60%-0.63%),"1,539(1,511-1,604)"
Middle East & North Africa,Israel,"41,778(41,055-42,980)",0.29%(0.29%-0.30%),"3,917(3,849-4,029)"
Middle East & North Africa,Jordan,"5,465(5,241-5,939)",0.17%(0.17%-0.19%),481(461-523)
Middle East & North Africa,Kuwait,"18,628(18,168-19,443)",0.38%(0.37%-0.39%),"3,787(3,694-3,953)"
Middle East & North Africa,Lebanon,65(29-135),0.01%(0.01%-0.03%),10(5-21)
Middle East & North Africa,Malta,"4,408(4,344-4,539)",0.41%(0.40%-0.42%),"9,981(9,838-10,278)"
Middle East & North Africa,Morocco,"19,557(18,841-21,138)",0.22%(0.21%-0.24%),464(447-501)
Middle East & North Africa,Oman,"2,330(1,976-3,086)",0.05%(0.04%-0.07%),380(322-503)
Middle East & North Africa,Qatar,"14,458(13,684-16,692)",0.20%(0.19%-0.23%),"4,194(3,970-4,842)"
Middle East & North Africa,Saudi Arabia,"132,341(129,045-139,986)",0.28%(0.27%-0.29%),"3,262(3,181-3,450)"
Middle East & North Africa,Tunisia,"8,539(8,222-9,215)",0.26%(0.25%-0.28%),657(633-709)
North America,Canada,"90,057(88,296-93,087)",0.17%(0.17%-0.18%),"2,143(2,101-2,215)"
North America,United States,"4,014,424(3,945,564-4,118,734)",0.65%(0.63%-0.66%),"11,236(11,043-11,528)"
South Asia,Bangladesh,"17,695(13,582-29,622)",0.03%(0.02%-0.05%),97(75-162)
South Asia,India,"416,233(373,362-498,896)",0.08%(0.07%-0.10%),271(243-325)
South Asia,Maldives,584(573-614),0.18%(0.17%-0.18%),"1,069(1,049-1,123)"
South Asia,Nepal,"3,574(3,126-4,492)",0.07%(0.06%-0.08%),106(93-134)
South Asia,Pakistan,"17,091(12,060-26,847)",0.04%(0.03%-0.06%),61(43-95)
South Asia,Sri Lanka,"6,745(5,062-10,037)",0.07%(0.05%-0.10%),307(230-457)
Sub-Saharan Africa,Angola,"2,644(2,023-4,165)",0.05%(0.04%-0.08%),50(38-78)
Sub-Saharan Africa,Benin,"962(807-1,454)",0.05%(0.04%-0.07%),54(45-81)
Sub-Saharan Africa,Botswana,"5,781(5,647-6,169)",0.47%(0.46%-0.50%),"1,953(1,907-2,084)"
Sub-Saharan Africa,Burkina Faso,"2,089(1,856-2,761)",0.09%(0.08%-0.12%),66(59-88)
Sub-Saharan Africa,Cabo Verde,277(263-323),0.22%(0.21%-0.26%),441(419-514)
Sub-Saharan Africa,Cameroon,"3,258(2,768-4,376)",0.08%(0.07%-0.10%),86(73-115)
Sub-Saharan Africa,"Congo, Dem. Rep.","4,105(3,333-6,118)",0.08%(0.07%-0.13%),30(24-44)
Sub-Saharan Africa,"Congo, Rep.",285(164-643),0.08%(0.05%-0.18%),36(21-81)
Sub-Saharan Africa,Cote d'Ivoire,"6,218(5,777-7,238)",0.07%(0.07%-0.08%),163(151-190)
Sub-Saharan Africa,Eswatini,413(346-572),0.14%(0.12%-0.19%),293(245-405)
Sub-Saharan Africa,Ethiopia,"6,342(5,188-8,719)",0.03%(0.02%-0.04%),40(32-54)
Sub-Saharan Africa,Gabon,"2,931(2,780-3,255)",0.29%(0.27%-0.32%),"974(924-1,082)"
Sub-Saharan Africa,"Gambia, The",87(73-125),0.03%(0.03%-0.05%),24(20-35)
Sub-Saharan Africa,Ghana,"5,609(4,678-7,784)",0.07%(0.06%-0.09%),135(113-188)
Sub-Saharan Africa,Guinea,"687(543-1,086)",0.03%(0.02%-0.05%),36(28-56)
Sub-Saharan Africa,Guinea-Bissau,155(132-238),0.09%(0.08%-0.14%),57(48-87)
Sub-Saharan Africa,Kenya,"10,366(9,691-11,762)",0.09%(0.09%-0.11%),142(133-161)
Sub-Saharan Africa,Lesotho,203(176-284),0.17%(0.15%-0.24%),84(73-118)
Sub-Saharan Africa,Madagascar,682(542-974),0.04%(0.03%-0.06%),17(13-24)
Sub-Saharan Africa,Mali,"988(862-1,305)",0.05%(0.04%-0.06%),32(28-42)
Sub-Saharan Africa,Mauritania,577(518-744),0.05%(0.05%-0.07%),86(77-110)
Sub-Saharan Africa,Mozambique,"4,283(4,144-4,762)",0.23%(0.23%-0.26%),91(88-101)
Sub-Saharan Africa,Namibia,"1,259(1,198-1,432)",0.22%(0.21%-0.25%),387(368-440)
Sub-Saharan Africa,Niger,"1,261(1,203-1,422)",0.07%(0.07%-0.08%),30(28-33)
Sub-Saharan Africa,Nigeria,"12,008(10,478-15,669)",0.04%(0.03%-0.05%),40(35-53)
Sub-Saharan Africa,Rwanda,"1,042(874-1,534)",0.06%(0.05%-0.08%),58(49-85)
Sub-Saharan Africa,Senegal,"7,118(6,815-7,865)",0.22%(0.21%-0.24%),291(278-321)
Sub-Saharan Africa,Sierra Leone,100(85-143),0.03%(0.02%-0.04%),10(8-14)
Sub-Saharan Africa,South Africa,"40,508(38,153-44,856)",0.21%(0.19%-0.23%),593(558-656)
Sub-Saharan Africa,Sudan,"5,168(4,657-6,601)",0.10%(0.09%-0.13%),84(75-107)
Sub-Saharan Africa,Togo,355(287-566),0.04%(0.03%-0.06%),30(25-48)
Sub-Saharan Africa,Uganda,"4,154(3,752-5,067)",0.08%(0.07%-0.10%),62(56-75)
Sub-Saharan Africa,Zambia,"1,198(854-2,202)",0.05%(0.04%-0.10%),43(30-78)
Sub-Saharan Africa,Zimbabwe,"2,421(2,210-2,884)",0.16%(0.15%-0.20%),126(115-150)
