Region,WBCountry,Economic cost in millions of 2017 INT$,Percentage of total GDP in 2020-2050,Per capita loss in 2017 INT $
East Asia & Pacific,Philippines,"155,400(106,041-211,998)",0.226(0.154-0.308),"1,205(822-1,644)"
East Asia & Pacific,Samoa*,190(136-264),0.344(0.247-0.479),"818(587-1,137)"
East Asia & Pacific,Singapore,"49,146(39,587-63,744)",0.188(0.152-0.244),"7,813(6,294-10,134)"
East Asia & Pacific,Solomon Islands*,375(279-502),0.491(0.365-0.658),386(287-517)
East Asia & Pacific,Taiwan (Province of China)*,"150,395(105,148-219,685)",0.263(0.184-0.384),"6,371(4,454-9,306)"
East Asia & Pacific,Thailand,"102,677(71,528-144,655)",0.176(0.123-0.249),"1,484(1,034-2,091)"
East Asia & Pacific,Timor-Leste*,321(220-449),0.174(0.119-0.244),191(131-267)
East Asia & Pacific,Tonga*,117(84-161),0.417(0.300-0.576),"968(697-1,339)"
East Asia & Pacific,Tuvalu*,20(13-28),0.511(0.350-0.727),"1,410(967-2,007)"
East Asia & Pacific,Vanuatu*,138(98-194),0.332(0.234-0.465),324(228-454)
East Asia & Pacific,Vietnam,"189,569(119,232-285,886)",0.255(0.160-0.384),"1,801(1,133-2,715)"
Europe & Central Asia,Albania,"2,462(1,596-3,634)",0.132(0.085-0.195),"914(592-1,349)"
Europe & Central Asia,Andorra*,291(209-403),0.175(0.125-0.242),"3,756(2,688-5,193)"
Europe & Central Asia,Armenia,"5,649(4,290-7,452)",0.261(0.198-0.344),"1,932(1,467-2,549)"
Europe & Central Asia,Austria,"29,744(24,147-37,177)",0.162(0.132-0.203),"3,247(2,636-4,059)"
Europe & Central Asia,Azerbaijan,"9,289(6,252-13,770)",0.182(0.123-0.270),"858(578-1,273)"
Europe & Central Asia,Belarus,"4,475(3,162-6,376)",0.080(0.057-0.114),492(348-702)
Europe & Central Asia,Belgium,"37,513(29,272-49,242)",0.172(0.134-0.225),"3,130(2,443-4,109)"
Europe & Central Asia,Bosnia and Herzegovina,"7,856(5,560-11,059)",0.339(0.240-0.477),"2,607(1,845-3,670)"
Europe & Central Asia,Bulgaria,"30,144(21,469-42,459)",0.397(0.282-0.559),"4,900(3,490-6,902)"
Europe & Central Asia,Croatia,"10,584(7,613-14,830)",0.197(0.142-0.277),"2,824(2,031-3,957)"
Europe & Central Asia,Cyprus,"3,870(3,222-4,741)",0.187(0.156-0.229),"2,989(2,489-3,662)"
Europe & Central Asia,Czech Republic,"119,378(90,679-157,326)",0.577(0.438-0.761),"11,188(8,498-14,744)"
Europe & Central Asia,Denmark,"26,123(20,468-33,474)",0.185(0.145-0.238),"4,313(3,379-5,526)"
Europe & Central Asia,Estonia,"5,841(4,321-7,998)",0.236(0.175-0.323),"4,681(3,463-6,409)"
Europe & Central Asia,Finland,"24,413(19,487-30,798)",0.239(0.191-0.301),"4,398(3,510-5,548)"
Europe & Central Asia,France,"128,703(99,075-167,434)",0.118(0.091-0.154),"1,923(1,480-2,501)"
Europe & Central Asia,Georgia,"4,169(3,209-5,448)",0.134(0.103-0.175),"1,107(852-1,446)"
Europe & Central Asia,Germany,"727,015(560,519-935,786)",0.443(0.342-0.571),"8,822(6,801-11,355)"
Europe & Central Asia,Greece,"11,910(8,833-16,008)",0.114(0.084-0.153),"1,226(909-1,647)"
Europe & Central Asia,Greenland*,199(142-278),0.165(0.117-0.231),"3,552(2,531-4,969)"
Europe & Central Asia,Hungary,"43,603(31,478-60,219)",0.264(0.191-0.365),"4,788(3,457-6,613)"
Europe & Central Asia,Iceland,"1,765(1,246-2,466)",0.178(0.126-0.249),"4,852(3,426-6,779)"
Europe & Central Asia,Ireland,"159,808(128,702-202,003)",0.270(0.218-0.342),"29,846(24,037-37,726)"
Europe & Central Asia,Italy,"150,930(120,953-189,695)",0.185(0.149-0.233),"2,606(2,088-3,275)"
Europe & Central Asia,Kazakhstan,"38,647(28,182-52,853)",0.167(0.122-0.228),"1,798(1,311-2,459)"
Europe & Central Asia,Kyrgyz Republic,"2,487(1,725-3,520)",0.153(0.106-0.217),316(219-447)
Europe & Central Asia,Latvia,"5,496(3,849-7,923)",0.200(0.140-0.288),"3,311(2,319-4,773)"
Europe & Central Asia,Lithuania,"8,788(6,865-11,420)",0.167(0.130-0.217),"3,672(2,868-4,772)"
Europe & Central Asia,Luxembourg,"4,667(3,534-6,221)",0.140(0.106-0.187),"6,526(4,942-8,700)"
Europe & Central Asia,Moldova,"2,807(2,039-3,877)",0.164(0.119-0.226),"750(544-1,035)"
Europe & Central Asia,Monaco*,"755(543-1,025)",0.197(0.141-0.267),"17,646(12,676-23,940)"
Europe & Central Asia,Montenegro,"1,904(1,309-2,725)",0.332(0.228-0.475),"3,097(2,130-4,433)"
Europe & Central Asia,Netherlands,"78,274(62,154-99,355)",0.197(0.156-0.250),"4,507(3,579-5,721)"
Europe & Central Asia,North Macedonia,"4,056(2,715-6,020)",0.264(0.177-0.392),"2,030(1,359-3,013)"
Europe & Central Asia,Norway,"32,675(27,385-39,107)",0.237(0.199-0.284),"5,396(4,522-6,458)"
Europe & Central Asia,Poland,"214,382(162,135-285,117)",0.306(0.231-0.407),"5,961(4,508-7,928)"
Europe & Central Asia,Portugal,"23,918(18,987-30,657)",0.172(0.137-0.221),"2,464(1,956-3,158)"
Europe & Central Asia,Romania*,"64,202(46,559-88,805)",0.198(0.144-0.274),"3,609(2,618-4,993)"
Europe & Central Asia,Russian Federation,"124,905(90,958-165,645)",0.101(0.073-0.133),"885(644-1,174)"
Europe & Central Asia,San Marino*,148(106-205),0.190(0.136-0.263),"4,326(3,084-5,985)"
Europe & Central Asia,Serbia,"23,565(16,960-33,694)",0.349(0.251-0.499),"2,964(2,133-4,238)"
Europe & Central Asia,Slovak Republic,"23,574(16,700-33,594)",0.289(0.205-0.412),"4,460(3,160-6,356)"
Europe & Central Asia,Slovenia,"7,397(5,523-9,893)",0.184(0.137-0.246),"3,652(2,727-4,885)"
Europe & Central Asia,Spain,"161,200(126,983-210,169)",0.218(0.171-0.284),"3,536(2,785-4,610)"
Europe & Central Asia,Sweden,"49,863(42,182-59,360)",0.212(0.179-0.252),"4,618(3,906-5,497)"
Europe & Central Asia,Switzerland,"57,080(43,961-74,610)",0.240(0.185-0.314),"6,117(4,711-7,996)"
Europe & Central Asia,Tajikistan,"9,292(6,440-12,672)",0.313(0.217-0.427),728(505-993)
Europe & Central Asia,Turkey,"162,094(122,406-218,177)",0.112(0.085-0.151),"1,773(1,339-2,386)"
Europe & Central Asia,Turkmenistan*,"6,795(4,560-9,727)",0.198(0.133-0.283),"961(645-1,376)"
Europe & Central Asia,Ukraine,"1,471(979-2,102)",0.045(0.030-0.064),37(25-53)
Europe & Central Asia,United Kingdom,"351,415(275,077-447,566)",0.306(0.240-0.390),"4,925(3,855-6,272)"
Europe & Central Asia,Uzbekistan,"62,499(39,756-92,437)",0.329(0.209-0.486),"1,610(1,024-2,382)"
Latin America & Caribbean,Antigua and Barbuda*,326(248-429),0.373(0.285-0.492),"3,064(2,337-4,041)"
Latin America & Caribbean,Argentina,"55,123(44,327-69,073)",0.180(0.144-0.225),"1,092(878-1,368)"
Latin America & Caribbean,"Bahamas, The","1,620(1,058-2,367)",0.364(0.238-0.532),"3,718(2,428-5,433)"
Latin America & Caribbean,Barbados,661(415-990),0.506(0.318-0.758),"2,310(1,448-3,455)"
Latin America & Caribbean,Belize,355(243-502),0.381(0.261-0.540),"719(492-1,017)"
Latin America & Caribbean,Bolivia,"10,255(6,645-15,024)",0.216(0.140-0.317),"738(478-1,081)"
Latin America & Caribbean,Brazil,"139,831(116,850-166,575)",0.144(0.120-0.171),622(520-741)
Latin America & Caribbean,Chile,"44,185(35,995-55,208)",0.235(0.191-0.294),"2,232(1,818-2,789)"
Latin America & Caribbean,Colombia,"81,089(58,382-113,782)",0.247(0.178-0.347),"1,499(1,079-2,103)"
Latin America & Caribbean,Costa Rica,"14,833(10,541-20,670)",0.286(0.203-0.398),"2,678(1,903-3,731)"
Latin America & Caribbean,Cuba*,"20,029(14,478-27,398)",0.292(0.211-0.400),"1,838(1,329-2,515)"
Latin America & Caribbean,Dominica*,130(94-179),0.460(0.331-0.633),"1,796(1,294-2,471)"
Latin America & Caribbean,Dominican Republic,"51,892(29,694-83,871)",0.371(0.212-0.600),"4,317(2,471-6,978)"
Latin America & Caribbean,Ecuador,"10,864(8,299-14,619)",0.167(0.128-0.225),525(401-706)
Latin America & Caribbean,El Salvador,"6,342(3,662-10,365)",0.281(0.162-0.459),"931(537-1,521)"
Latin America & Caribbean,Grenada*,333(258-430),0.423(0.328-0.545),"2,885(2,235-3,716)"
Latin America & Caribbean,Guatemala,"20,095(14,118-28,386)",0.264(0.185-0.373),"887(623-1,253)"
Latin America & Caribbean,Guyana*,"9,929(6,688-14,590)",0.426(0.287-0.627),"12,080(8,137-17,752)"
Latin America & Caribbean,Haiti*,"3,072(2,114-4,499)",0.259(0.178-0.379),231(159-339)
Latin America & Caribbean,Honduras,"6,119(4,294-8,753)",0.221(0.155-0.316),508(357-727)
Latin America & Caribbean,Jamaica,"3,965(2,420-5,970)",0.427(0.261-0.643),"1,312(801-1,975)"
Latin America & Caribbean,Mexico,"341,059(255,928-440,869)",0.376(0.282-0.486),"2,362(1,772-3,053)"
Latin America & Caribbean,Nicaragua*,"3,563(2,531-5,082)",0.236(0.167-0.336),464(330-662)
Latin America & Caribbean,Panama,"22,105(16,579-29,589)",0.339(0.254-0.454),"4,286(3,215-5,737)"
Latin America & Caribbean,Paraguay,"10,774(7,111-15,913)",0.250(0.165-0.369),"1,308(863-1,932)"
Latin America & Caribbean,Peru,"21,246(15,336-30,178)",0.119(0.086-0.168),572(413-813)
Latin America & Caribbean,Puerto Rico*,"12,725(9,008-18,280)",0.438(0.310-0.629),"4,628(3,276-6,648)"
Latin America & Caribbean,St. Kitts and Nevis*,204(148-276),0.384(0.279-0.520),"3,649(2,649-4,949)"
Latin America & Caribbean,St. Lucia*,430(328-575),0.504(0.385-0.674),"2,301(1,757-3,078)"
Latin America & Caribbean,St. Vincent and the Grenadines*,319(246-414),0.543(0.419-0.705),"2,846(2,197-3,696)"
Latin America & Caribbean,Suriname,"965(666-1,368)",0.365(0.251-0.517),"1,498(1,033-2,124)"
Latin America & Caribbean,Trinidad and Tobago*,"6,672(3,981-9,949)",0.706(0.421-1.053),"4,785(2,855-7,135)"
Latin America & Caribbean,Uruguay,"3,385(2,662-4,325)",0.120(0.094-0.153),"944(742-1,206)"
Latin America & Caribbean,"Venezuela, RB*","41,558(26,002-62,129)",0.309(0.193-0.462),"1,218(762-1,820)"
Latin America & Caribbean,Virgin Islands (U.S.)*,"922(665-1,254)",0.476(0.343-0.648),"9,511(6,858-12,937)"
Middle East & North Africa,Algeria*,"37,377(26,490-51,496)",0.196(0.139-0.270),707(501-974)
Middle East & North Africa,Bahrain,"7,745(6,267-9,736)",0.240(0.194-0.302),"3,725(3,015-4,683)"
Middle East & North Africa,Djibouti,620(357-981),0.134(0.077-0.213),535(308-846)
Middle East & North Africa,"Egypt, Arab Rep.","172,829(119,071-249,806)",0.205(0.141-0.296),"1,321(910-1,910)"
Middle East & North Africa,"Iran, Islamic Rep.*","93,867(70,495-118,896)",0.216(0.162-0.274),"987(741-1,251)"
Middle East & North Africa,Iraq,"36,490(28,834-46,430)",0.182(0.144-0.231),658(520-837)
Middle East & North Africa,Israel,"46,314(34,929-61,887)",0.230(0.173-0.307),"4,342(3,275-5,802)"
Middle East & North Africa,Jordan,"5,151(3,786-7,264)",0.118(0.087-0.166),453(333-639)
Middle East & North Africa,Kuwait,"18,096(15,546-21,586)",0.272(0.234-0.325),"3,679(3,160-4,388)"
Middle East & North Africa,Lebanon,482(285-747),0.092(0.054-0.142),75(45-117)
Middle East & North Africa,Libya*,"34,695(23,418-50,379)",0.213(0.144-0.309),"4,431(2,990-6,433)"
Middle East & North Africa,Malta,"5,620(4,696-6,907)",0.352(0.294-0.433),"12,727(10,635-15,641)"
Middle East & North Africa,Morocco,"19,754(15,081-26,731)",0.157(0.120-0.213),468(358-634)
Middle East & North Africa,Oman,"13,905(8,895-20,640)",0.215(0.137-0.318),"2,265(1,449-3,362)"
Middle East & North Africa,Qatar,"16,005(13,297-19,839)",0.162(0.134-0.200),"4,643(3,857-5,755)"
Middle East & North Africa,Saudi Arabia,"158,500(131,781-195,619)",0.242(0.202-0.299),"3,907(3,248-4,822)"
Middle East & North Africa,Syrian Arab Republic*,"4,804(3,319-6,962)",0.191(0.132-0.277),175(121-253)
Middle East & North Africa,Tunisia,"9,902(7,684-12,738)",0.218(0.169-0.280),762(592-981)
Middle East & North Africa,United Arab Emirates*,"58,341(38,404-86,995)",0.195(0.128-0.290),"5,554(3,656-8,282)"
Middle East & North Africa,"Yemen, Rep.*","4,450(3,013-6,464)",0.121(0.082-0.176),113(76-164)
North America,Bermuda*,"741(550-1,005)",0.283(0.210-0.384),"12,630(9,373-17,132)"
North America,Canada,"132,967(102,866-171,362)",0.188(0.145-0.242),"3,164(2,447-4,077)"
North America,United States,"3,749,807(3,215,813-4,391,682)",0.436(0.374-0.511),"10,495(9,001-12,292)"
South Asia,Afghanistan*,"4,015(2,555-5,896)",0.165(0.105-0.242),77(49-113)
South Asia,Bangladesh,"106,714(66,055-165,909)",0.132(0.081-0.205),585(362-910)
South Asia,Bhutan,"1,046(628-1,646)",0.192(0.115-0.303),"1,221(733-1,922)"
South Asia,India,"1,589,291(1,114,625-2,193,880)",0.214(0.150-0.296),"1,034(725-1,427)"
South Asia,Maldives,"697(482-1,000)",0.143(0.099-0.205),"1,276(883-1,831)"
South Asia,Nepal,"13,434(9,076-19,361)",0.175(0.118-0.252),400(270-576)
South Asia,Pakistan,"137,347(88,170-202,999)",0.219(0.141-0.324),488(313-721)
South Asia,Sri Lanka,"55,832(32,700-95,743)",0.406(0.238-0.696),"2,541(1,488-4,358)"
Sub-Saharan Africa,Angola,"7,355(4,312-11,670)",0.112(0.065-0.177),139(81-220)
Sub-Saharan Africa,Benin,"2,688(1,607-4,314)",0.090(0.054-0.145),151(90-242)
Sub-Saharan Africa,Botswana,"2,904(2,178-3,904)",0.169(0.127-0.227),"981(736-1,319)"
Sub-Saharan Africa,Burkina Faso,"4,718(2,974-7,029)",0.138(0.087-0.205),150(94-223)
Sub-Saharan Africa,Burundi,263(171-391),0.076(0.050-0.114),14(9-22)
Sub-Saharan Africa,Cabo Verde,222(149-322),0.124(0.083-0.181),354(237-514)
Sub-Saharan Africa,Cameroon,"6,056(3,650-9,786)",0.101(0.061-0.164),159(96-257)
Sub-Saharan Africa,Central African Republic*,422(297-610),0.165(0.116-0.239),64(45-93)
Sub-Saharan Africa,Chad*,"1,008(694-1,446)",0.114(0.079-0.164),41(28-58)
Sub-Saharan Africa,Comoros,159(90-252),0.122(0.069-0.194),136(77-216)
Sub-Saharan Africa,"Congo, Dem. Rep.","9,642(5,935-14,882)",0.137(0.084-0.212),69(43-107)
Sub-Saharan Africa,"Congo, Rep.",591(352-943),0.134(0.080-0.214),74(44-118)
Sub-Saharan Africa,Cote d'Ivoire,"10,537(6,539-16,166)",0.080(0.050-0.123),276(171-424)
Sub-Saharan Africa,Equatorial Guinea*,578(395-825),0.151(0.103-0.216),274(187-391)
Sub-Saharan Africa,Eritrea*,689(474-999),0.142(0.098-0.206),146(101-212)
Sub-Saharan Africa,Eswatini,640(384-991),0.157(0.094-0.243),453(272-702)
Sub-Saharan Africa,Ethiopia,"23,906(15,633-35,480)",0.074(0.048-0.110),149(98-221)
Sub-Saharan Africa,Gabon,"1,902(1,307-2,800)",0.134(0.092-0.197),632(434-930)
Sub-Saharan Africa,"Gambia, The",317(191-509),0.088(0.053-0.141),88(53-141)
Sub-Saharan Africa,Ghana,"19,352(11,661-31,090)",0.162(0.097-0.260),467(282-751)
Sub-Saharan Africa,Guinea,"3,340(2,017-5,292)",0.100(0.061-0.159),173(105-274)
Sub-Saharan Africa,Guinea-Bissau,302(195-452),0.127(0.082-0.190),110(71-165)
Sub-Saharan Africa,Kenya,"12,229(8,577-17,106)",0.077(0.054-0.108),168(118-235)
Sub-Saharan Africa,Lesotho,399(237-623),0.252(0.150-0.394),165(98-258)
Sub-Saharan Africa,Liberia*,366(249-536),0.128(0.087-0.188),51(35-75)
Sub-Saharan Africa,Madagascar,"2,075(1,262-3,175)",0.094(0.057-0.144),52(31-79)
Sub-Saharan Africa,Malawi*,"2,066(1,432-2,963)",0.123(0.085-0.176),73(51-105)
Sub-Saharan Africa,Mali,"2,192(1,311-3,561)",0.073(0.044-0.119),70(42-114)
Sub-Saharan Africa,Mauritania,"868(540-1,372)",0.057(0.036-0.090),129(80-204)
Sub-Saharan Africa,Mauritius,"6,507(5,022-8,625)",0.557(0.430-0.738),"5,202(4,015-6,895)"
Sub-Saharan Africa,Mozambique,"3,696(2,551-5,472)",0.141(0.098-0.209),78(54-116)
Sub-Saharan Africa,Namibia,"814(549-1,214)",0.104(0.070-0.156),250(169-373)
Sub-Saharan Africa,Niger,"1,824(1,181-2,776)",0.070(0.046-0.107),43(28-65)
Sub-Saharan Africa,Nigeria,"16,295(11,103-23,733)",0.040(0.027-0.058),55(37-80)
Sub-Saharan Africa,Rwanda,"3,370(1,993-5,331)",0.126(0.074-0.199),188(111-297)
Sub-Saharan Africa,Sao Tome and Principe*,55(38-79),0.119(0.083-0.171),183(127-263)
Sub-Saharan Africa,Senegal,"5,900(4,047-8,559)",0.124(0.085-0.180),241(165-349)
Sub-Saharan Africa,Seychelles*,458(332-626),0.322(0.234-0.440),"4,448(3,224-6,079)"
Sub-Saharan Africa,Sierra Leone,246(148-390),0.050(0.030-0.079),24(14-37)
Sub-Saharan Africa,Somalia*,"1,301(901-1,887)",0.130(0.090-0.188),53(37-77)
Sub-Saharan Africa,South Africa,"42,571(34,227-52,729)",0.160(0.128-0.198),623(501-772)
Sub-Saharan Africa,South Sudan*,"1,255(862-1,805)",0.125(0.086-0.180),81(56-117)
Sub-Saharan Africa,Sudan,"8,805(6,145-12,643)",0.122(0.085-0.176),142(99-204)
Sub-Saharan Africa,Tanzania,"18,679(10,701-30,165)",0.138(0.079-0.223),203(116-328)
Sub-Saharan Africa,Togo,"1,491(911-2,357)",0.114(0.069-0.180),128(78-202)
Sub-Saharan Africa,Uganda,"9,844(5,935-15,528)",0.129(0.078-0.203),147(88-231)
Sub-Saharan Africa,Zambia,"3,859(2,285-6,162)",0.125(0.074-0.200),137(81-219)
Sub-Saharan Africa,Zimbabwe,"2,207(1,411-3,315)",0.110(0.070-0.165),115(73-172)
Others,Cook Islands*,96(72-129),0.643(0.481-0.863),"5,533(4,141-7,426)"
Others,Niue*,4(3-5),0.771(0.551-1.047),"2,278(1,627-3,094)"
Others,Palestine*,"2,975(2,274-3,925)",0.230(0.176-0.303),427(326-563)
Others,Tokelau*,2(1-2),0.462(0.318-0.639),"1,208(833-1,673)"
