Region,WBCountry,Economic cost in millions of 2017 INT$,Percentage of total GDP in 2020-2050,Per capita loss in 2017 INT $
East Asia & Pacific,Philippines,"98,422(67,470-134,048)",0.210(0.144-0.286),"763(523-1,040)"
East Asia & Pacific,Samoa*,125(90-174),0.318(0.228-0.441),539(387-749)
East Asia & Pacific,Singapore,"32,334(26,029-41,916)",0.173(0.140-0.225),"5,141(4,138-6,664)"
East Asia & Pacific,Solomon Islands*,247(183-330),0.453(0.337-0.606),253(188-339)
East Asia & Pacific,Taiwan (Province of China)*,"99,282(69,418-144,889)",0.243(0.170-0.354),"4,206(2,941-6,138)"
East Asia & Pacific,Thailand,"66,850(46,614-94,092)",0.161(0.113-0.227),"966(674-1,360)"
East Asia & Pacific,Timor-Leste*,218(149-305),0.161(0.110-0.225),130(89-181)
East Asia & Pacific,Tonga*,78(56-108),0.384(0.277-0.531),646(465-893)
East Asia & Pacific,Tuvalu*,12(8-18),0.471(0.323-0.670),"889(610-1,264)"
East Asia & Pacific,Vanuatu*,91(64-127),0.306(0.216-0.429),213(150-297)
East Asia & Pacific,Vietnam,"120,486(76,006-181,368)",0.239(0.151-0.360),"1,144(722-1,723)"
Europe & Central Asia,Albania,"1,603(1,040-2,363)",0.120(0.078-0.177),595(386-877)
Europe & Central Asia,Andorra*,192(138-266),0.161(0.116-0.223),"2,478(1,774-3,424)"
Europe & Central Asia,Armenia,"3,699(2,807-4,878)",0.245(0.186-0.323),"1,265(960-1,668)"
Europe & Central Asia,Austria,"19,837(16,078-24,828)",0.148(0.120-0.186),"2,166(1,755-2,710)"
Europe & Central Asia,Azerbaijan,"6,395(4,306-9,465)",0.169(0.114-0.251),591(398-875)
Europe & Central Asia,Belarus,"3,098(2,190-4,406)",0.074(0.052-0.105),341(241-485)
Europe & Central Asia,Belgium,"25,055(19,527-32,896)",0.157(0.122-0.206),"2,091(1,629-2,745)"
Europe & Central Asia,Bosnia and Herzegovina,"5,167(3,656-7,266)",0.312(0.221-0.439),"1,715(1,213-2,411)"
Europe & Central Asia,Bulgaria,"19,645(14,040-27,563)",0.362(0.259-0.508),"3,194(2,282-4,481)"
Europe & Central Asia,Croatia,"7,008(5,033-9,824)",0.183(0.131-0.257),"1,870(1,343-2,621)"
Europe & Central Asia,Cyprus,"2,453(2,035-3,014)",0.170(0.141-0.209),"1,895(1,572-2,328)"
Europe & Central Asia,Czech Republic,"76,846(58,329-101,304)",0.525(0.398-0.691),"7,202(5,466-9,494)"
Europe & Central Asia,Denmark,"17,385(13,620-22,273)",0.171(0.134-0.219),"2,870(2,249-3,677)"
Europe & Central Asia,Estonia,"3,811(2,816-5,217)",0.217(0.161-0.297),"3,054(2,257-4,180)"
Europe & Central Asia,Finland,"16,263(12,962-20,538)",0.218(0.174-0.275),"2,929(2,335-3,700)"
Europe & Central Asia,France,"85,473(65,820-111,126)",0.107(0.083-0.139),"1,277(983-1,660)"
Europe & Central Asia,Georgia,"2,714(2,087-3,547)",0.124(0.095-0.162),720(554-941)
Europe & Central Asia,Germany,"479,744(370,644-616,536)",0.400(0.309-0.514),"5,821(4,497-7,481)"
Europe & Central Asia,Greece,"7,996(5,910-10,778)",0.103(0.076-0.139),"823(608-1,109)"
Europe & Central Asia,Greenland*,131(94-183),0.152(0.108-0.212),"2,344(1,670-3,276)"
Europe & Central Asia,Hungary,"28,614(20,664-39,480)",0.245(0.177-0.339),"3,142(2,269-4,336)"
Europe & Central Asia,Iceland,"1,147(809-1,601)",0.165(0.116-0.230),"3,151(2,224-4,401)"
Europe & Central Asia,Ireland,"98,570(79,332-124,650)",0.254(0.204-0.321),"18,409(14,816-23,280)"
Europe & Central Asia,Italy,"101,235(80,991-127,353)",0.168(0.135-0.212),"1,748(1,398-2,199)"
Europe & Central Asia,Kazakhstan,"25,682(18,746-35,080)",0.155(0.113-0.212),"1,195(872-1,632)"
Europe & Central Asia,Kyrgyz Republic,"1,598(1,109-2,258)",0.140(0.097-0.197),203(141-287)
Europe & Central Asia,Latvia,"3,605(2,523-5,191)",0.184(0.129-0.265),"2,171(1,520-3,127)"
Europe & Central Asia,Lithuania,"5,752(4,489-7,478)",0.154(0.120-0.200),"2,404(1,876-3,125)"
Europe & Central Asia,Luxembourg,"3,102(2,351-4,132)",0.130(0.098-0.173),"4,338(3,287-5,778)"
Europe & Central Asia,Moldova,"1,848(1,342-2,549)",0.152(0.110-0.209),493(358-681)
Europe & Central Asia,Monaco*,498(358-676),0.181(0.130-0.246),"11,646(8,367-15,787)"
Europe & Central Asia,Montenegro,"1,234(848-1,765)",0.304(0.209-0.436),"2,007(1,379-2,872)"
Europe & Central Asia,Netherlands,"52,008(41,283-66,014)",0.180(0.143-0.229),"2,994(2,377-3,801)"
Europe & Central Asia,North Macedonia,"2,705(1,817-3,999)",0.246(0.165-0.363),"1,354(909-2,001)"
Europe & Central Asia,Norway,"21,969(18,412-26,289)",0.217(0.182-0.260),"3,628(3,041-4,341)"
Europe & Central Asia,Poland,"138,843(105,109-184,207)",0.282(0.214-0.374),"3,861(2,923-5,122)"
Europe & Central Asia,Portugal,"15,798(12,492-20,305)",0.157(0.125-0.202),"1,627(1,287-2,091)"
Europe & Central Asia,Romania*,"41,416(30,039-57,242)",0.183(0.133-0.253),"2,328(1,689-3,218)"
Europe & Central Asia,Russian Federation,"84,895(61,901-112,453)",0.092(0.067-0.122),601(439-797)
Europe & Central Asia,San Marino*,100(71-138),0.175(0.125-0.242),"2,914(2,078-4,029)"
Europe & Central Asia,Serbia,"15,391(11,069-21,972)",0.320(0.230-0.457),"1,936(1,392-2,764)"
Europe & Central Asia,Slovak Republic,"15,211(10,784-21,630)",0.262(0.186-0.372),"2,878(2,040-4,092)"
Europe & Central Asia,Slovenia,"4,870(3,627-6,525)",0.170(0.127-0.228),"2,405(1,791-3,222)"
Europe & Central Asia,Spain,"105,744(83,054-138,147)",0.199(0.156-0.260),"2,319(1,822-3,030)"
Europe & Central Asia,Sweden,"33,086(27,968-39,409)",0.195(0.165-0.232),"3,064(2,590-3,650)"
Europe & Central Asia,Switzerland,"38,192(29,438-49,869)",0.221(0.170-0.288),"4,093(3,155-5,344)"
Europe & Central Asia,Tajikistan,"5,803(4,020-7,922)",0.288(0.199-0.393),455(315-621)
Europe & Central Asia,Turkey,"106,435(80,423-143,045)",0.105(0.079-0.141),"1,164(880-1,564)"
Europe & Central Asia,Turkmenistan*,"4,625(3,104-6,615)",0.182(0.122-0.261),654(439-936)
Europe & Central Asia,Ukraine,"1,122(750-1,597)",0.039(0.026-0.055),28(19-40)
Europe & Central Asia,United Kingdom,"232,114(181,449-295,839)",0.278(0.218-0.355),"3,253(2,543-4,146)"
Europe & Central Asia,Uzbekistan,"40,162(25,680-59,209)",0.307(0.196-0.452),"1,035(662-1,526)"
Latin America & Caribbean,Antigua and Barbuda*,210(160-277),0.344(0.262-0.453),"1,975(1,507-2,603)"
Latin America & Caribbean,Argentina,"37,302(30,000-46,708)",0.163(0.131-0.204),739(594-925)
Latin America & Caribbean,"Bahamas, The","1,090(713-1,591)",0.334(0.219-0.488),"2,502(1,637-3,651)"
Latin America & Caribbean,Barbados,447(282-666),0.464(0.292-0.691),"1,561(984-2,326)"
Latin America & Caribbean,Belize,237(163-335),0.350(0.240-0.494),481(330-678)
Latin America & Caribbean,Bolivia,"6,719(4,357-9,841)",0.201(0.130-0.294),484(314-708)
Latin America & Caribbean,Brazil,"96,068(80,238-114,454)",0.132(0.110-0.157),427(357-509)
Latin America & Caribbean,Chile,"29,117(23,713-36,369)",0.213(0.174-0.266),"1,471(1,198-1,837)"
Latin America & Caribbean,Colombia,"53,481(38,509-74,911)",0.227(0.163-0.317),"989(712-1,385)"
Latin America & Caribbean,Costa Rica,"9,671(6,878-13,461)",0.262(0.186-0.364),"1,746(1,242-2,430)"
Latin America & Caribbean,Cuba*,"13,223(9,559-18,070)",0.270(0.195-0.368),"1,214(877-1,658)"
Latin America & Caribbean,Dominica*,88(64-121),0.424(0.306-0.583),"1,218(877-1,674)"
Latin America & Caribbean,Dominican Republic,"32,941(18,917-53,114)",0.344(0.197-0.554),"2,741(1,574-4,419)"
Latin America & Caribbean,Ecuador,"7,329(5,591-9,855)",0.152(0.116-0.205),354(270-476)
Latin America & Caribbean,El Salvador,"4,209(2,449-6,836)",0.258(0.150-0.419),"618(359-1,003)"
Latin America & Caribbean,Grenada*,218(169-280),0.390(0.302-0.502),"1,882(1,458-2,422)"
Latin America & Caribbean,Guatemala,"13,117(9,240-18,471)",0.242(0.171-0.341),579(408-816)
Latin America & Caribbean,Guyana*,"6,405(4,315-9,403)",0.393(0.265-0.577),"7,793(5,249-11,440)"
Latin America & Caribbean,Haiti*,"2,082(1,433-3,046)",0.238(0.164-0.349),157(108-229)
Latin America & Caribbean,Honduras,"3,977(2,786-5,693)",0.203(0.142-0.291),330(231-473)
Latin America & Caribbean,Jamaica,"2,649(1,627-3,973)",0.388(0.238-0.582),"876(538-1,314)"
Latin America & Caribbean,Mexico,"225,614(169,697-291,183)",0.342(0.257-0.442),"1,562(1,175-2,016)"
Latin America & Caribbean,Nicaragua*,"2,401(1,706-3,421)",0.217(0.154-0.310),313(222-446)
Latin America & Caribbean,Panama,"14,214(10,676-18,999)",0.312(0.234-0.417),"2,756(2,070-3,684)"
Latin America & Caribbean,Paraguay,"7,048(4,668-10,377)",0.228(0.151-0.336),"856(567-1,260)"
Latin America & Caribbean,Peru,"13,826(9,986-19,597)",0.108(0.078-0.153),372(269-528)
Latin America & Caribbean,Puerto Rico*,"8,990(6,364-12,901)",0.404(0.286-0.580),"3,270(2,315-4,692)"
Latin America & Caribbean,St. Kitts and Nevis*,135(98-183),0.354(0.257-0.480),"2,423(1,759-3,283)"
Latin America & Caribbean,St. Lucia*,288(220-385),0.465(0.355-0.621),"1,542(1,177-2,060)"
Latin America & Caribbean,St. Vincent and the Grenadines*,212(164-275),0.500(0.386-0.649),"1,894(1,462-2,457)"
Latin America & Caribbean,Suriname,663(458-939),0.335(0.231-0.474),"1,030(712-1,457)"
Latin America & Caribbean,Trinidad and Tobago*,"4,693(2,800-6,990)",0.652(0.389-0.970),"3,366(2,008-5,013)"
Latin America & Caribbean,Uruguay,"2,274(1,788-2,905)",0.109(0.086-0.140),634(499-810)
Latin America & Caribbean,"Venezuela, RB*","27,437(17,167-40,978)",0.285(0.178-0.425),"804(503-1,201)"
Latin America & Caribbean,Virgin Islands (U.S.)*,609(439-827),0.439(0.317-0.597),"6,280(4,529-8,533)"
Middle East & North Africa,Algeria*,"25,050(17,756-34,485)",0.181(0.128-0.249),474(336-652)
Middle East & North Africa,Bahrain,"5,032(4,065-6,333)",0.218(0.176-0.274),"2,420(1,955-3,046)"
Middle East & North Africa,Djibouti,399(230-631),0.127(0.073-0.202),344(198-544)
Middle East & North Africa,"Egypt, Arab Rep.","110,879(76,605-159,894)",0.188(0.130-0.272),"848(586-1,222)"
Middle East & North Africa,"Iran, Islamic Rep.*","63,455(47,662-80,305)",0.199(0.150-0.252),667(501-845)
Middle East & North Africa,Iraq,"23,533(18,602-29,938)",0.168(0.133-0.214),424(335-540)
Middle East & North Africa,Israel,"30,378(22,952-40,495)",0.213(0.161-0.284),"2,848(2,152-3,796)"
Middle East & North Africa,Jordan,"3,467(2,547-4,879)",0.109(0.080-0.154),305(224-429)
Middle East & North Africa,Kuwait,"12,110(10,383-14,470)",0.245(0.210-0.293),"2,462(2,111-2,942)"
Middle East & North Africa,Lebanon,355(211-550),0.080(0.047-0.124),56(33-86)
Middle East & North Africa,Libya*,"20,081(13,555-29,134)",0.196(0.132-0.284),"2,564(1,731-3,720)"
Middle East & North Africa,Malta,"3,548(2,966-4,357)",0.327(0.274-0.402),"8,035(6,717-9,866)"
Middle East & North Africa,Morocco,"12,921(9,843-17,504)",0.144(0.110-0.195),306(233-415)
Middle East & North Africa,Oman,"9,062(5,798-13,439)",0.193(0.123-0.286),"1,476(944-2,189)"
Middle East & North Africa,Qatar,"10,650(8,839-13,204)",0.147(0.122-0.183),"3,089(2,564-3,830)"
Middle East & North Africa,Saudi Arabia,"104,733(86,956-129,349)",0.220(0.182-0.271),"2,581(2,143-3,188)"
Middle East & North Africa,Syrian Arab Republic*,"3,170(2,190-4,591)",0.176(0.122-0.255),115(80-167)
Middle East & North Africa,Tunisia,"6,557(5,078-8,452)",0.197(0.153-0.254),505(391-651)
Middle East & North Africa,United Arab Emirates*,"38,436(25,303-57,270)",0.179(0.118-0.267),"3,659(2,409-5,452)"
Middle East & North Africa,"Yemen, Rep.*","2,935(1,987-4,262)",0.111(0.075-0.162),75(50-108)
North America,Bermuda*,489(363-663),0.261(0.194-0.354),"8,338(6,188-11,299)"
North America,Canada,"88,666(68,587-114,225)",0.172(0.133-0.221),"2,110(1,632-2,718)"
North America,United States,"2,505,656(2,148,139-2,934,496)",0.403(0.346-0.472),"7,013(6,012-8,213)"
South Asia,Afghanistan*,"2,720(1,731-3,991)",0.152(0.097-0.223),52(33-76)
South Asia,Bangladesh,"68,195(42,329-105,684)",0.125(0.078-0.194),374(232-580)
South Asia,Bhutan,"666(400-1,047)",0.178(0.107-0.279),"778(467-1,222)"
South Asia,India,"1,010,578(710,498-1,392,033)",0.201(0.141-0.277),657(462-905)
South Asia,Maldives,438(303-629),0.132(0.091-0.189),"802(555-1,151)"
South Asia,Nepal,"8,582(5,800-12,365)",0.162(0.109-0.233),255(173-368)
South Asia,Pakistan,"89,631(57,645-132,205)",0.204(0.131-0.301),318(205-469)
South Asia,Sri Lanka,"36,990(21,781-62,906)",0.379(0.223-0.645),"1,684(991-2,863)"
Sub-Saharan Africa,Angola,"5,143(3,026-8,134)",0.104(0.061-0.164),97(57-153)
Sub-Saharan Africa,Benin,"1,767(1,058-2,829)",0.085(0.051-0.137),99(59-158)
Sub-Saharan Africa,Botswana,"1,914(1,432-2,576)",0.156(0.117-0.210),646(484-870)
Sub-Saharan Africa,Burkina Faso,"3,038(1,917-4,524)",0.129(0.081-0.192),96(61-144)
Sub-Saharan Africa,Burundi,180(117-269),0.071(0.046-0.106),10(6-15)
Sub-Saharan Africa,Cabo Verde,146(98-212),0.116(0.078-0.168),232(156-337)
Sub-Saharan Africa,Cameroon,"3,987(2,407-6,429)",0.095(0.057-0.153),105(63-169)
Sub-Saharan Africa,Central African Republic*,274(193-396),0.152(0.107-0.220),42(29-60)
Sub-Saharan Africa,Chad*,692(476-992),0.105(0.072-0.151),28(19-40)
Sub-Saharan Africa,Comoros,105(60-167),0.113(0.064-0.179),90(51-143)
Sub-Saharan Africa,"Congo, Dem. Rep.","6,344(3,911-9,776)",0.130(0.080-0.200),46(28-70)
Sub-Saharan Africa,"Congo, Rep.",437(261-696),0.126(0.075-0.200),55(33-87)
Sub-Saharan Africa,Cote d'Ivoire,"6,716(4,168-10,299)",0.076(0.047-0.116),176(109-270)
Sub-Saharan Africa,Equatorial Guinea*,438(300-626),0.139(0.095-0.199),208(142-297)
Sub-Saharan Africa,Eritrea*,455(313-659),0.131(0.090-0.190),97(66-140)
Sub-Saharan Africa,Eswatini,440(263-681),0.149(0.089-0.230),311(186-482)
Sub-Saharan Africa,Ethiopia,"15,176(9,962-22,439)",0.071(0.046-0.105),95(62-140)
Sub-Saharan Africa,Gabon,"1,271(873-1,869)",0.124(0.085-0.182),422(290-621)
Sub-Saharan Africa,"Gambia, The",206(124-330),0.082(0.049-0.132),57(34-92)
Sub-Saharan Africa,Ghana,"12,670(7,648-20,297)",0.153(0.092-0.245),306(185-490)
Sub-Saharan Africa,Guinea,"2,120(1,281-3,355)",0.094(0.057-0.149),110(66-174)
Sub-Saharan Africa,Guinea-Bissau,198(128-296),0.120(0.077-0.179),72(47-108)
Sub-Saharan Africa,Kenya,"7,944(5,583-11,085)",0.072(0.050-0.100),109(77-152)
Sub-Saharan Africa,Lesotho,274(163-429),0.232(0.138-0.362),114(68-178)
Sub-Saharan Africa,Liberia*,250(170-365),0.118(0.080-0.173),35(24-51)
Sub-Saharan Africa,Madagascar,"1,367(832-2,091)",0.088(0.053-0.134),34(21-52)
Sub-Saharan Africa,Malawi*,"1,342(931-1,924)",0.113(0.078-0.162),48(33-68)
Sub-Saharan Africa,Mali,"1,430(858-2,314)",0.069(0.041-0.111),46(27-74)
Sub-Saharan Africa,Mauritania,568(354-896),0.053(0.033-0.084),84(52-133)
Sub-Saharan Africa,Mauritius,"4,245(3,271-5,625)",0.512(0.394-0.678),"3,394(2,615-4,497)"
Sub-Saharan Africa,Mozambique,"2,388(1,648-3,530)",0.131(0.090-0.193),50(35-75)
Sub-Saharan Africa,Namibia,555(375-828),0.096(0.065-0.144),171(115-254)
Sub-Saharan Africa,Niger,"1,163(754-1,767)",0.065(0.042-0.099),27(18-41)
Sub-Saharan Africa,Nigeria,"11,593(7,897-16,880)",0.038(0.026-0.056),39(26-57)
Sub-Saharan Africa,Rwanda,"2,150(1,274-3,397)",0.119(0.070-0.188),120(71-189)
Sub-Saharan Africa,Sao Tome and Principe*,36(25-52),0.110(0.076-0.157),120(83-173)
Sub-Saharan Africa,Senegal,"3,761(2,582-5,450)",0.116(0.079-0.168),154(105-222)
Sub-Saharan Africa,Seychelles*,296(215-405),0.297(0.215-0.406),"2,876(2,085-3,927)"
Sub-Saharan Africa,Sierra Leone,170(102-268),0.046(0.028-0.073),16(10-26)
Sub-Saharan Africa,Somalia*,"849(588-1,231)",0.119(0.083-0.173),34(24-50)
Sub-Saharan Africa,South Africa,"28,946(23,201-35,902)",0.147(0.118-0.182),424(340-525)
Sub-Saharan Africa,South Sudan*,"828(569-1,190)",0.116(0.079-0.166),54(37-77)
Sub-Saharan Africa,Sudan,"5,916(4,128-8,490)",0.113(0.079-0.162),96(67-137)
Sub-Saharan Africa,Tanzania,"11,962(6,883-19,256)",0.130(0.075-0.209),130(75-210)
Sub-Saharan Africa,Togo,"979(598-1,545)",0.108(0.066-0.170),84(51-132)
Sub-Saharan Africa,Uganda,"6,371(3,848-10,034)",0.121(0.073-0.191),95(57-149)
Sub-Saharan Africa,Zambia,"2,589(1,538-4,120)",0.118(0.070-0.188),92(55-147)
Sub-Saharan Africa,Zimbabwe,"1,506(964-2,257)",0.102(0.066-0.154),78(50-117)
Others,Cook Islands*,64(48-85),0.593(0.444-0.795),"3,654(2,735-4,898)"
Others,Niue*,3(2-3),0.711(0.508-0.965),"1,505(1,075-2,041)"
Others,Palestine*,"1,964(1,501-2,589)",0.212(0.162-0.279),282(215-372)
Others,Tokelau*,1(1-2),0.426(0.294-0.589),"798(550-1,104)"
